country,region,avg_price_usd,avg_rating,total_products,unique_categories,price_standard_deviation,gdp_per_capita,online_availability_pct,assortment_breadth,global_avg_price,price_index,affordability_index
Egypt,Africa,255.1526501801802,4.655214305214305,7326,21,457.39107469986124,3876.0,67.69041769041769,149,166.00235381996333,1.5370423630071184,0.06582885711562957
Morocco,Africa,233.4195851971748,4.6,6796,22,414.321758243745,3654.0,80.75338434373161,154,166.00235381996333,1.4061221411976383,0.06388056518806097
Jordan,Middle East,215.6157302542373,4.6,7080,22,376.54691932371486,,82.11864406779661,147,166.00235381996333,1.2988715237621378,
Switzerland,Europe,213.29816636245113,4.566740547588005,7670,23,393.79858851693047,,97.37940026075619,165,166.00235381996333,1.284910493460726,
Norway,Europe,195.62496702339473,4.387991538078646,8036,21,337.61092707118854,,97.46142359382777,170,166.00235381996333,1.1784469468159373,
United States,North America,193.17040883977901,4.401019030079804,8145,23,374.8824920222934,81695.0,98.28115408225906,177,166.00235381996333,1.1636606613980944,0.0023645315972798705
Austria,Europe,191.35335133928572,4.496676587301587,8064,22,331.95157718608135,56433.0,97.71825396825396,162,166.00235381996333,1.1527146870870075,0.0033908059351671137
Belgium,Europe,189.454170973951,4.388489670216861,7793,22,355.5731966103495,54918.0,97.11279353265752,164,166.00235381996333,1.141274003737454,0.0034497645758030334
Germany,Europe,183.61778262529836,4.386945107398568,8380,21,325.12124028795716,55352.0,98.04295942720763,161,166.00235381996333,1.1061155363160677,0.003317274581321332
Denmark,Europe,180.83482794174506,4.390127593762083,7759,22,326.20300012930306,62893.0,96.49439360742363,167,166.00235381996333,1.0893509867809958,0.002875277502134499
France,Europe,180.75202473971245,4.397211204759543,8068,21,312.7639643572339,52847.0,98.01685671789787,162,166.00235381996333,1.0888521793838284,0.0034202892262514893
Finland,Europe,179.81430864850572,4.391999471039408,7562,22,328.7060785180136,54216.0,96.8923565194393,166,166.00235381996333,1.0832033673662365,0.0033166280922330258
Saudi_Arabia,Other,176.54694911490182,4.707692307692308,6214,23,311.27152303499054,,88.68683617637593,156,166.00235381996333,1.063520757701873,
Kuwait,Middle East,175.30312348149207,4.6,6997,21,314.7014817412748,86432.0,85.25082178076319,147,166.00235381996333,1.0560279384448719,0.0020282201439454375
Ireland,Europe,171.97477107114935,4.792025019546521,7674,22,322.47780973258875,95481.0,92.46807401615845,164,166.00235381996333,1.0359779070221098,0.001801141285398659
Italy,Europe,170.30860806916425,4.515778097982709,8328,22,306.56215123607905,34221.0,97.1301633045149,166,166.00235381996333,1.0259409228249332,0.004976727976072127
Sweden,Europe,165.71617341106537,4.382464563328761,8748,22,298.2436024943685,60819.0,97.05075445816188,171,166.00235381996333,0.9982760460781879,0.002724743475082875
Netherlands,Europe,164.70015838080235,4.322324566719185,8251,21,291.3267652104761,56847.0,97.38213549872742,168,166.00235381996333,0.9921555603929973,0.0028972533006280427
United Kingdom,Europe,164.362581393932,4.516071646155721,8207,22,310.70274587733877,51147.0,96.78323382478372,165,166.00235381996333,0.9901219929218008,0.0032135331768027844
Australia,Oceania,157.6326992930313,4.400187563122205,6931,23,284.1799391101671,64998.0,97.7203866685904,167,166.00235381996333,0.9495811093377068,0.002425193071987312
Qatar,Middle East,157.1376489770528,4.650262648603816,7234,21,295.47710982818234,98765.0,83.77108100635886,148,166.00235381996333,0.9465989208049141,0.0015910256566299074
Spain,Europe,156.4720467032967,4.394842657342657,8008,22,280.12939537636214,31455.0,96.87812187812187,166,166.00235381996333,0.942589325407984,0.004974472951940764
Portugal,Europe,154.43478765597746,4.398349657855897,7453,22,265.0620025424702,27615.0,95.47833087347377,165,166.00235381996333,0.9303168545638131,0.005592423960020911
Canada,North America,154.04120720969473,4.388847982819451,6519,21,311.9941139023467,52891.0,97.85243135450223,159,166.00235381996333,0.9279459216389125,0.0029124275814353053
Oman,Middle East,153.78498915124442,4.6475909380982765,6268,21,286.4873077124554,24567.0,87.46011486917678,151,166.00235381996333,0.9264024612448015,0.0062598196422536095
Hungary,Europe,153.4739997057175,4.808674327354261,7136,21,273.8570376743438,18456.0,93.55381165919282,163,166.00235381996333,0.9245290574142498,0.008315669684965186
Poland,Europe,153.42228843167703,4.813366977225673,7728,23,266.82473531888854,19234.0,95.898033126294,166,166.00235381996333,0.9242175481322998,0.007976618926467558
United Arab Emirates,Middle East,152.04456585559376,4.649166887066913,7562,21,279.60709874877466,49876.0,84.39566252314202,147,166.00235381996333,0.9159181322241527,0.003048451476774275
Slovakia,Europe,151.6434749083005,4.875750577367206,7361,22,269.7176420964377,23891.0,92.5281891047412,165,166.00235381996333,0.9135019559587954,0.006347305466841091
Bahrain,Middle East,148.8380526636225,4.7080821917808215,6570,23,264.6236283965843,54321.0,85.4337899543379,145,166.00235381996333,0.896602061589101,0.0027399726194956373
Czech_Republic,Other,147.67781012151156,4.7612631860061425,7489,23,267.59597053689725,,95.87394845773801,167,166.00235381996333,0.88961274779076,
Croatia,Europe,147.61251316434996,4.39314527119106,7338,22,255.68358624705098,18927.0,89.22049604796948,162,166.00235381996333,0.8892193982046909,0.007799044389726315
Slovenia,Europe,146.16891465727446,4.39384990517475,7382,21,263.455313895898,32481.0,95.63803847195882,164,166.00235381996333,0.880523144965769,0.004500135915066483
Romania,Europe,139.2673202739726,4.395877364644488,7665,22,242.3576763638917,14827.0,95.6686236138291,164,166.00235381996333,0.8389478647092797,0.009392818525256126
Singapore,Asia,138.15367127642665,4.685868701319345,6291,21,257.7224436965663,65432.0,95.32665712923225,154,166.00235381996333,0.8322392309344012,0.002111408351822146
Philippines,Asia,137.20436441094543,4.693413075536622,6103,22,264.22759942590966,3654.0,83.59823037850238,137,166.00235381996333,0.8265205959654611,0.037549087140379155
South_Korea,Other,128.420314461719,4.394089175711352,6818,22,232.97817188278606,,98.38662364329716,158,166.00235381996333,0.7736053827344902,
Japan,Asia,125.26073459782141,4.390511681238355,6977,22,240.5398832042511,33756.0,96.50279489752043,163,166.00235381996333,0.7545720389824836,0.0037107694809166195
Thailand,Asia,121.26066251944013,4.776889580093313,6430,23,222.61186218919605,6987.0,93.17262830482115,149,166.00235381996333,0.730475560912543,0.01735518284234151
India,Asia,116.87326194629594,4.405427537611883,5251,23,229.431893282271,2612.0,98.49552466196914,147,166.00235381996333,0.7040458117422239,0.044744740408229684
Malaysia,Asia,113.85900187852224,4.693315591734502,6388,22,215.9809990216516,11876.0,94.16092673763306,156,166.00235381996333,0.6858878760358254,0.0095873191207917
